index,category,n_doc,title,path,link
0,sports,1,Memphis y Dumfries certifican que el 'soccer' todavía está lejos del modelo de fútbol de - MARCA.com,./TextClassification/Datos/Raw_data/sports/1.txt,https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3Lm1hcmNhLmNvbS9mdXRib2wvbXVuZGlhbC9jcm9uaWNhLzIwMjIvMTIvMDMvNjM4YjY1YmMyNjhlM2VmNzI1OGI0NThhLmh0bWzSAVVodHRwczovL2FtcC5tYXJjYS5jb20vZnV0Ym9sL211bmRpYWwvY3JvbmljYS8yMDIyLzEyLzAzLzYzOGI2NWJjMjY4ZTNlZjcyNThiNDU4YS5odG1s?oc=5
1,sports,2,Con el dinero no basta en el fútbol - AS ,./TextClassification/Datos/Raw_data/sports/2.txt,https://news.google.com/__i/rss/rd/articles/CBMiPWh0dHBzOi8vYXMuY29tL29waW5pb24vY29uLWVsLWRpbmVyby1uby1iYXN0YS1lbi1lbC1mdXRib2wtbi_SAUxodHRwczovL2FzLmNvbS9vcGluaW9uL2Nvbi1lbC1kaW5lcm8tbm8tYmFzdGEtZW4tZWwtZnV0Ym9sLW4vP291dHB1dFR5cGU9YW1w?oc=5
2,sports,3,El fútbol es un cuento - La Voz de Galicia,./TextClassification/Datos/Raw_data/sports/3.txt,https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3Lmxhdm96ZGVnYWxpY2lhLmVzL25vdGljaWEvb3Bpbmlvbi8yMDIyLzEyLzA0L2Z1dGJvbC1jdWVudG8vMDAwM18yMDIyMTJFNFA2MDk5My5odG3SAWJodHRwczovL3d3dy5sYXZvemRlZ2FsaWNpYS5lcy9hbXAvbm90aWNpYS9vcGluaW9uLzIwMjIvMTIvMDQvZnV0Ym9sLWN1ZW50by8wMDAzXzIwMjIxMkU0UDYwOTkzLmh0bQ?oc=5
3,sports,4,Cavani y Giménez serán sancionados pero no con sus clubes - Marca,./TextClassification/Datos/Raw_data/sports/4.txt,https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3Lm1hcmNhLmNvbS9mdXRib2wvbXVuZGlhbC8yMDIyLzEyLzAzLzYzOGIwYzM5ZTI3MDRlOTkwNzhiNDVhZi5odG1s0gFNaHR0cHM6Ly9hbXAubWFyY2EuY29tL2Z1dGJvbC9tdW5kaWFsLzIwMjIvMTIvMDMvNjM4YjBjMzllMjcwNGU5OTA3OGI0NWFmLmh0bWw?oc=5
4,sports,5,Suspendido por una tangana a puñetazos el Almería-Heart (1-0) - Diario de Almería,./TextClassification/Datos/Raw_data/sports/5.txt,https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3LmRpYXJpb2RlYWxtZXJpYS5lcy91ZC1hbG1lcmlhL3N1c3BlbmRpZG8tdGFuZ2FuYS1wdW5ldGF6b3MtYWxtZXJpYS1oZWFydHNfMF8xNzQ0NjI1Nzg0Lmh0bWzSAWtodHRwczovL3d3dy5kaWFyaW9kZWFsbWVyaWEuZXMvdWQtYWxtZXJpYS9zdXNwZW5kaWRvLXRhbmdhbmEtcHVuZXRhem9zLWFsbWVyaWEtaGVhcnRzXzBfMTc0NDYyNTc4NC5hbXAuaHRtbA?oc=5
5,sports,6,"Cristiano Ronaldo exige a la Juventus 19,9 millones de euros - Marca",./TextClassification/Datos/Raw_data/sports/6.txt,https://news.google.com/__i/rss/rd/articles/CBMiU2h0dHBzOi8vd3d3Lm1hcmNhLmNvbS9mdXRib2wvbGlnYS1pdGFsaWFuYS8yMDIyLzEyLzA0LzYzOGM3YTNhMjI2MDFkOTkzMThiNDVlMi5odG1s0gFTaHR0cHM6Ly9hbXAubWFyY2EuY29tL2Z1dGJvbC9saWdhLWl0YWxpYW5hLzIwMjIvMTIvMDQvNjM4YzdhM2EyMjYwMWQ5OTMxOGI0NWUyLmh0bWw?oc=5
6,sports,7,"El último baile del invicto Van Gaal: ""Luchamos por Louis"" - Marca",./TextClassification/Datos/Raw_data/sports/7.txt,https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3Lm1hcmNhLmNvbS9mdXRib2wvbXVuZGlhbC8yMDIyLzEyLzA0LzYzOGJiZWU4ZTI3MDRlYjQ1YjhiNDViNi5odG1s0gFNaHR0cHM6Ly9hbXAubWFyY2EuY29tL2Z1dGJvbC9tdW5kaWFsLzIwMjIvMTIvMDQvNjM4YmJlZThlMjcwNGViNDViOGI0NWI2Lmh0bWw?oc=5
7,sports,8,"Luis Enrique: «Si a Gavi le ha hecho la porra el Rey, es que sabe mucho de fútbol» - Okdiario",./TextClassification/Datos/Raw_data/sports/8.txt,https://news.google.com/__i/rss/rd/articles/CBMiYGh0dHBzOi8vb2tkaWFyaW8uY29tL211bmRpYWwvbHVpcy1lbnJpcXVlLXNpLWdhdmktaGVjaG8tcG9ycmEtcmV5LXF1ZS1zYWJlLW11Y2hvLWZ1dGJvbC0xMDEwMDczNdIBZGh0dHBzOi8vb2tkaWFyaW8uY29tL211bmRpYWwvbHVpcy1lbnJpcXVlLXNpLWdhdmktaGVjaG8tcG9ycmEtcmV5LXF1ZS1zYWJlLW11Y2hvLWZ1dGJvbC0xMDEwMDczNS9hbXA?oc=5
8,sports,9,El VAR más moderno sigue sin resolver los problemas del fútbol: las polémicas arbitrales del Mundial - EL ESPAÑOL,./TextClassification/Datos/Raw_data/sports/9.txt,https://news.google.com/__i/rss/rd/articles/CBMigwFodHRwczovL3d3dy5lbGVzcGFub2wuY29tL2RlcG9ydGVzL2Z1dGJvbC9tdW5kaWFsLzIwMjIxMjAzL3Zhci1zaW4tcmVzb2x2ZXItcHJvYmxlbWFzLXBvbGVtaWNhcy1hcmJpdHJhbGVzLW11bmRpYWwvNzIzMTc3Njc2XzAuaHRtbNIBhwFodHRwczovL3d3dy5lbGVzcGFub2wuY29tL2RlcG9ydGVzL2Z1dGJvbC9tdW5kaWFsLzIwMjIxMjAzL3Zhci1zaW4tcmVzb2x2ZXItcHJvYmxlbWFzLXBvbGVtaWNhcy1hcmJpdHJhbGVzLW11bmRpYWwvNzIzMTc3Njc2XzAuYW1wLmh0bWw?oc=5
9,sports,10,"La indignación de Luis Suárez: ""¿Por qué siempre contra Uruguay?"" - Marca",./TextClassification/Datos/Raw_data/sports/10.txt,https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3Lm1hcmNhLmNvbS9mdXRib2wvbXVuZGlhbC8yMDIyLzEyLzAyLzYzOGE0ZWFlY2E0NzQxZjU0ZThiNDVjYy5odG1s0gFNaHR0cHM6Ly9hbXAubWFyY2EuY29tL2Z1dGJvbC9tdW5kaWFsLzIwMjIvMTIvMDIvNjM4YTRlYWVjYTQ3NDFmNTRlOGI0NWNjLmh0bWw?oc=5
