Accuracy,Precision,Recall,F1 Score,modelo
0.139,0.036,0.139,0.057,Logistic Regression BoW
0.153,0.027,0.153,0.045,Naive Bayes BoW
0.139,0.031,0.139,0.051,Linear SVM BoW
0.125,0.032,0.125,0.051,Gauss kernel SVM BoW
0.153,0.035,0.153,0.057,Logistic Regression tfidf
0.153,0.027,0.153,0.045,Naive Bayes tfidf
0.153,0.03,0.153,0.05,Linear SVM tfidf
0.125,0.031,0.125,0.049,Gauss kernel SVM tfidf
0.139,0.031,0.139,0.051,Logistic Regression averaged
0.139,0.067,0.139,0.09,Naive Bayes averaged
0.153,0.03,0.153,0.05,Linear SVM averaged
0.153,0.031,0.153,0.051,Gauss kernel SVM averaged
0.139,0.04,0.139,0.062,Logistic Regression tfidf wv
0.139,0.079,0.139,0.101,Naive Bayes tfidf wv
0.167,0.036,0.167,0.06,Linear SVM tfidf wv
0.125,0.05,0.125,0.071,Gauss kernel SVM tfidf wv
