Accuracy,Precision,Recall,F1 Score,modelo
0.842,0.859,0.842,0.846,lbfgs - Logistic Regression averaged
0.875,0.882,0.875,0.877,liblinear - Logistic Regression averaged
0.842,0.859,0.842,0.846,newton-cg - Logistic Regression averaged
0.858,0.869,0.858,0.862,newton-cholesky - Logistic Regression averaged
0.858,0.871,0.858,0.862,sag - Logistic Regression averaged
0.858,0.871,0.858,0.862,saga - Logistic Regression averaged
0.842,0.86,0.842,0.846,0.1 - Naive Bayes averaged
0.842,0.858,0.842,0.846,0.01 - Naive Bayes averaged
0.85,0.865,0.85,0.854,0.001 - Naive Bayes averaged
0.85,0.865,0.85,0.854,0.0001 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-05 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-06 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-07 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-08 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-09 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-10 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-11 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-12 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-13 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-14 - Naive Bayes averaged
0.85,0.865,0.85,0.854,1e-15 - Naive Bayes averaged
0.842,0.851,0.842,0.845,scale - Gauss kernel SVM averaged
0.842,0.851,0.842,0.845,auto - Gauss kernel SVM averaged
0.825,0.854,0.825,0.823,hinge - Linear SVM averaged
0.842,0.851,0.842,0.842,log_loss - Linear SVM averaged
0.867,0.876,0.867,0.866,log - Linear SVM averaged
0.867,0.873,0.867,0.868,modified_huber - Linear SVM averaged
0.817,0.835,0.817,0.82,squared_hinge - Linear SVM averaged
0.792,0.829,0.792,0.794,perceptron - Linear SVM averaged
0.242,0.278,0.242,0.23,squared_error - Linear SVM averaged
0.375,0.541,0.375,0.358,huber - Linear SVM averaged
0.075,0.291,0.075,0.066,epsilon_insensitive - Linear SVM averaged
0.217,0.077,0.217,0.111,squared_epsilon_insensitive - Linear SVM averaged
