Accuracy,Precision,Recall,F1 Score,modelo
0.892,0.899,0.892,0.891,log - Linear SVM
0.883,0.887,0.883,0.884,modified_huber - Linear SVM
0.875,0.882,0.875,0.877,liblinear - Logistic Regression
0.867,0.879,0.867,0.865,squared_hinge - Linear SVM
0.858,0.869,0.858,0.859,modified_huber - Linear SVM
0.858,0.869,0.858,0.862,newton-cholesky - Logistic Regression
0.85,0.877,0.85,0.851,log - Linear SVM
0.85,0.861,0.85,0.851,modified_huber - Linear SVM
0.842,0.856,0.842,0.845,hinge - Linear SVM
0.833,0.852,0.833,0.837,perceptron - Linear SVM
0.742,0.817,0.742,0.747,log_loss - Linear SVM
